step,t_hour,思明区
1,0.25,0.002577
2,0.5,0.003036
3,0.75,0.003473
4,1.0,0.003839
5,1.25,0.004146
6,1.5,0.004482
7,1.75,0.004845
8,2.0,0.005222
9,2.25,0.005641
10,2.5,0.00611
11,2.75,0.0066
12,3.0,0.007181
13,3.25,0.007872
14,3.5,0.00868
15,3.75,0.009612
16,4.0,0.010661
17,4.25,0.011831
18,4.5,0.013116
19,4.75,0.014508
20,5.0,0.016001
21,5.25,0.017587
22,5.5,0.019258
23,5.75,0.020987
24,6.0,0.02279
25,6.25,0.024688
26,6.5,0.026641
27,6.75,0.028634
28,7.0,0.030659
29,7.25,0.032706
30,7.5,0.034755
31,7.75,0.036791
32,8.0,0.038788
33,8.25,0.040648
34,8.5,0.042481
35,8.75,0.044173
36,9.0,0.045848
37,9.25,0.047439
38,9.5,0.048908
39,9.75,0.050256
