step,t_hour,avg_stress,avg_emotion,avg_panic,outage_ratio,hoard_ratio,herd_ratio
1,0.25,0.000271,0.002577,0.000225,1.0,0.0,0.0
2,0.5,0.000466,0.003036,0.000565,1.0,0.0,0.0
3,0.75,0.000604,0.003473,0.000824,1.0,0.0,0.0
4,1.0,0.000665,0.003839,0.00097,1.0,0.0,0.0
5,1.25,0.000688,0.004146,0.00109,1.0,0.0,0.0
6,1.5,0.000785,0.004482,0.001271,1.0,0.0,0.0
7,1.75,0.00094,0.004845,0.001505,1.0,0.0,0.0
8,2.0,0.001133,0.005222,0.001823,1.0,0.0,0.0
9,2.25,0.001393,0.005641,0.00223,1.0,0.0,0.0
10,2.5,0.001745,0.00611,0.002829,1.0,0.0,0.0
11,2.75,0.002147,0.0066,0.00351,1.0,0.0,0.0
12,3.0,0.002664,0.007181,0.004363,1.0,0.0,0.0
13,3.25,0.003318,0.007872,0.00551,1.0,0.0,0.0
14,3.5,0.004121,0.00868,0.006851,1.0,0.0,0.0
15,3.75,0.005083,0.009612,0.008557,1.0,0.0,0.0
16,4.0,0.0062,0.010661,0.01055,1.0,0.0,0.0
17,4.25,0.00748,0.011831,0.01287,1.0,0.0,0.0
18,4.5,0.008917,0.013116,0.015415,1.0,0.0,0.0
19,4.75,0.010506,0.014508,0.01818,1.0,0.0,0.0
20,5.0,0.012244,0.016001,0.021152,1.0,0.0,0.0
21,5.25,0.014131,0.017587,0.024304,1.0,0.0,0.0
22,5.5,0.016166,0.019258,0.027615,1.0,0.0,0.0
23,5.75,0.018323,0.020987,0.031068,1.0,0.0,0.0
24,6.0,0.020627,0.02279,0.034663,1.0,0.0,0.0
25,6.25,0.023114,0.024688,0.038454,1.0,0.0,0.0
26,6.5,0.025751,0.026641,0.042406,1.0,0.0,0.0
27,6.75,0.028524,0.028634,0.046561,1.0,0.0,0.0
28,7.0,0.031427,0.030659,0.050831,1.0,0.0,0.0
29,7.25,0.034469,0.032706,0.055213,1.0,0.0,0.0
30,7.5,0.03765,0.034755,0.059732,1.0,0.0,0.0
31,7.75,0.040954,0.036791,0.064399,1.0,0.0,0.0
32,8.0,0.044378,0.038788,0.069209,1.0,0.0,0.0
33,8.25,0.047803,0.040648,0.073968,1.0,0.0,0.0
34,8.5,0.051354,0.042481,0.07887,1.0,0.0,0.0
35,8.75,0.054921,0.044173,0.083747,1.0,0.0,0.0
36,9.0,0.058703,0.045848,0.08885,1.0,0.0,0.0
37,9.25,0.062606,0.047439,0.094089,1.0,0.0,0.0
38,9.5,0.066609,0.048908,0.099407,1.0,0.0,0.0
39,9.75,0.070743,0.050256,0.104806,1.0,0.0,0.0
