step,t_hour,S,E,I,R
1,0.25,70,10,10,10
2,0.5,70,10,10,10
3,0.75,70,9,10,11
4,1.0,79,0,10,11
5,1.25,79,0,10,11
6,1.5,79,0,10,11
7,1.75,79,0,10,11
8,2.0,79,9,0,12
9,2.25,79,8,0,13
10,2.5,79,8,0,13
11,2.75,87,0,0,13
12,3.0,87,0,0,13
13,3.25,87,0,0,13
14,3.5,87,0,0,13
15,3.75,87,0,0,13
16,4.0,87,0,0,13
17,4.25,87,0,0,13
18,4.5,87,0,0,13
19,4.75,87,0,0,13
20,5.0,87,0,0,13
21,5.25,87,0,0,13
22,5.5,87,0,0,13
23,5.75,87,0,0,13
24,6.0,87,0,0,13
25,6.25,86,1,0,13
26,6.5,86,1,0,13
27,6.75,86,1,0,13
28,7.0,86,1,0,13
29,7.25,86,1,0,13
30,7.5,86,1,0,13
31,7.75,86,1,0,13
32,8.0,86,0,0,14
33,8.25,86,0,0,14
34,8.5,86,0,0,14
35,8.75,86,0,0,14
36,9.0,86,0,0,14
37,9.25,85,1,0,14
38,9.5,85,1,0,14
39,9.75,85,1,0,14
